CR_WARRANTOR_IDENTIFIER|CR_WARRANTY_NUMBER|CR_NJ_BUILDERS_REG_NUMBER|CR_WARRANTY_START_DTE|CR_COMUN_CODE|CR_BUILDING_STREET_NAME|CR_BUILDING_STREET_NUMBER|CR_BUILDING_CITY|CR_SALE_PRICE|CR_BUILDING_TYPE|CR_CONSTRUCTION_TYPE|CR_STORIES|CR_OWNER_TYPE|CR_BLOCK_NUMBER|CR_LOT_NUMBER|COMPANY_NAME
NHW|203042|31233|20150213|810|LINDEN AVENUE|111|MANTUA|258900|101|C|2|N|69|5.01|ROUTE 536 SOUTH CORPORATION INC
NHW|203082|31280|20150305|267|ADAMS COURT|38|WESTWOOD|721500|101|C|2|N|602|3.05|JEZEQUEL CUSTOM BUILDERS INC
NHW|203078|31369|20150315|116|NORTH HANOVER AVENUE|215|MARGATE|670000|101|C|2|N|410.01|3.01|RKAY CONSTRUCTION MANAGEMENT LLC
NHW|203211|31458|20150320|210|LAFAYETTE AVENUE|84|DUMONT|495000|101|C|2|N|708|27|DEAN BUILDERS INC
NHW|203373|31629|20150425|1530|MARY ALICE ROAD|51|MANAHAWKIN|181250|101|C|1|N|147.26|328|C RILEY CONSTRUCTION
NHW|203435|31964|20150515|246|ADDISON PLACE|249|PARAMUS|1145000|101|C|2|N|03810|00018|BONARDI BROTHERS REALTY
NHW|203223|32018|20150325|2004|GENEVA STREET UNIT-2|217|ELIZABETH|170000|103|C|3|N|5|825|MELSY BUILDERS LLC
NHW|203222|32018|20150325|2004|GENEVA STREET UNIT-1|217|ELIZABETH|170000|103|C|3|N|5|825|MELSY BUILDERS LLC
NHW|203418|32021|20150515|2001|HILLSIDE AVENUE|73|BERKELEY HEIGHTS|995000|101|C|2|N|2506|21|JONELL ASSOCIATES DEVELOPMENT CO INC
NHW|203199|32161|20150325|236|DONNYBROOK ROAD|32|MONTVALE|1500000|101|C|2|N|1301|17|AVS ASSOCIATES L L C
NHW|203305|32378|20150420|203|VAN VALKENBURGH AVENUE|41|BERGENFIELD|760000|101|C|2|N|220|2|D A B BUILDERS INC
NHW|203363|32511|20150530|108|A OAKLAND AVENUE|411|EGG HARBOR TWP|239900|101|C|2|N|3904|12.01|DOEBLEY & DAD LLC
NHW|203251|32530|20150323|1524|OCEANFRONT|1429|POINT PLEASANT|680000|101||2|N|17.01|57|FORCE CONSTRUCTION ENTERPRISE INC
NHW|203368|32775|20150501|1516|WEST RARITAN DRIVE|5|LITTLE EGG HARBOR|213711|101|C|1|N|325.100|4|D G COSTAIN BUILDER
NHW|203175|32999|20150408|1225|ELM STREET|65|COLONIA|585000|101|C|2|N|386.04|36|KNOCK ON WOOD LLC
NHW|203018|33072|20150214|1507|HARDING AVENUE|29|TOMS RIVER|2525000|101|C|2|N|1056.01|18 & 19|RJS QUALITY CONSTRUCTION
NHW|203286|33234|20150410|904|WILLIAM STREET UNIT-1|218|HARRISON|262500|103|C|2|N|17|21|SELGROVE GROUP LLC
NHW|203287|33234|20150410|904|WILLIAM STREET UNIT-2|218|HARRISON|262500|103|C|2|N|17|21|SELGROVE GROUP LLC
NHW|203107|33385|20150325|1517|E. 28TH STREET|124|BEACH HAVEN GARDENS|678750|101|C|2|N|6.07|12|MANCINI CUSTOM HOMES INC
NHW|202481|33385|20141124|1517|W JUDITH AVENUE|11|HOLGATE|1040000|101|C|2|N|1.55|34 & 35|MANCINI CUSTOM HOMES INC
NHW|202482|33385|20141117|1517|BEACH AVENUE|3008|BEACH HAVEN GARDENS|1150000|101|C|2|N|6.22|9|MANCINI CUSTOM HOMES INC
NHW|203302|33610|20150331|1221|HENDERSON ROAD|116|KENDALL PARK|725000|101|C|2|N|92.020|15.044|MINA CONSTRUCTION CORP
NHW|203083|33629|20150223|1429|BEACHWOOD ROAD|137|PARSIPPANY|640000|101|C|2|N|248|8|ROBERT FITZSIMMONS BUILDERS
NHW|203245|33738|20150402|1109|WENDOVER DRIVE|307|PRINCETON|1749235|101|C|2|N|5101|1|BLUE CREST BUILDERS LLC
NHW|203328|33747|20150415|2007|FLORENCE AVENUE UNIT:2|285A|HILLSIDE|195000|103|C|3|N|1108|7.02|BDS BUILDERS LLC
NHW|203329|33747|20150415|2007|FLORENCE AVENUE|285A|HILLSIDE|195000|103|C|3|N|1108|7.02|BDS BUILDERS LLC
NHW|203431|33757|20150515|1516|NORTH FORECASTLE DRIVE|5|LITTLE EGG HARBOR TW|227562|101||1|N|325.46|38|QUALITY MODULAR HOMES LLC
NHW|203432|33757|20150515|107|RIVER ROAD|2201|EGG HARBOR CITY|312425|101||1|N|55.01|61.04|QUALITY MODULAR HOMES LLC
NHW|203256|33773|20150406|252|PARK AVENUE|822|RIVER EDGE|585000|101|C|2|N|213|15|J CONSTRUCTION CORP
NHW|203025|33844|20150202|2013|RIVER ROAD|649|RAHWAY|355000|101|C|2|N|213|2.02|SP CONSTRUCTION & SON LLC
NHW|203128|33955|20150301|1530|YEOMAN ROAD|365|MANAHAWKIN|450000|101|C|2|N|44.216|15|JANUSZ P MACKO CONSTRUCTION COMPANY
NHW|203426|34027|20150415|1306|20TH AVENUE|107|BELMAR|326000|101|C|2|N|201|2|MASTERCRAFT HOMES LLC
NHW|203405|34061|20150430|909|FIRST STREET|724|SECAUCUS|749000|101|C|1|N|00087|00010|V F C CONSTRUCTION LLC
NHW|202985|34061|20150210|909|BORN STREET UNIT-A|269|SECAUCUS|569000|103|C|2|C|167|10|V F C CONSTRUCTION LLC
NHW|202986|34061|20150210|909|BORN STREET UNIT-B|269|SECAUCUS|569000|103|C|2|C|167|10|V F C CONSTRUCTION LLC
NHW|203014|34380|20150213|810|MONROE AVENUE|100|MANTUA|206000|101|C|2|N|117|2|CASTLE REAL ESTATE INC
NHW|203200|34465|20150318|103|CAVERLY DRIVE|546|BRIGANTINE|183750|101|C|2|N|7101|3|THE FEATHER JIL LLC
NHW|203143|34503|20150315|1524|BAY BOULEVARD|1721|POINT PLEASANT|842617|101|C|2|N|279|71|JOHN J CHANDO JR INC
NHW|203010|3458|20150215|508|ROOSEVELT BOULEVARD|10|OCEAN CITY|370000|101|C|2|N|3507|5|HALLIDAY-LEONARD INC
NHW|203027|3458|20150228|1109|WILSON ROAD|116|PRINCETON|112362|101|C|2|N|3.01|40|HALLIDAY-LEONARD INC
NHW|203026|3458|20150215|508|BAY AVENUE|6|OCEAN CITY|793750|101|C|2|N|15|8|HALLIDAY-LEONARD INC
NHW|203362|3458|20150430|508|WEST 11TH STREET|7|OCEAN CITY|389246|101|C|2|N|1010|17.01|HALLIDAY-LEONARD INC
NHW|203005|34610|20150215|1507|COOLIDGE AVENUE|412|ORTLEY BEACH|316812|101|C|2|N|33|1097.01|ALBURTUS MODULAR HOMES INC
NHW|203063|34610|20150301|1350|UNION AVENUE|204|UNION BEACH|235565|101|M|2|N|219|15|ALBURTUS MODULAR HOMES INC
NHW|203017|34646|20150201|1512|SAND PIPER DRIVE|836|LACEY TWP|191312|101|C|1|N|927|13|BERGEN ESSEX CONTRACTORS INC
NHW|203301|34949|20150508|508|OXFORD LANE|3711|OCEAN CITY|540812|101|C|2|N|37.07|5|MORRIS CONSTRUCTION LLC
NHW|203214|35076|20150312|1914|RACETRACK CIRCLE|103|MONTAGUE|137800|101|C|1|H|18.53|16|VEZZA REAL ESTATE PROPERTIES LLC
NHW|203381|35285|20150521|1344|PHILADELPHIA BOULEVARD|412|SEA GIRT|2275000|101|C|2|N|60|10|JP PROPERTY DEVELOPMENT LLC
NHW|203419|35322|20150527|1304|3RD STREET AVENUE|10829|STONE HARBOR|834355|101|C|2|N|108.04|85.01|MIKE RENNIE CONSTRUCTION LLC
NHW|203436|35367|20150511|1205|CALVERT AVENUE EAST|59|EDISON|850000|101|C|2|N|997|8|LEONARD CURSI CONSTRUCTION CO INC
NHW|203314|35468|20150411|1404|COUNTRY CLUB DRIVE|2|CHATHAM TOWNSHIP|929376|101|C|2|N|102.3|1|KIKUN DEVELOPMENT GROUP LLC
NHW|203191|35706|20150316|713|HELLER WAY|106|UPPER MONTCLAIR|2100000|101|C|2|N|4705|2.01|VAN NOTE RENOVATIONS
NHW|203046|35793|20150301|1512|RIVERVIEW DRIVE|1416|FORKED RIVER|261250|101||0||190|5|R BRANDSEMA BUILDING AND CARPENTRY CO
NHW|203382|35817|20150430|1505|THIRD AVENUE|170|BERKLEY|225000|101|C|2|N|53|508,509,5|PINE CREST DEVELOPERS LLC
NHW|203081|36032|20150316|1417|FOREST ROAD|20|MADISON|1459000|101|C|2|N|203|16|RPM HOMES LLC
NHW|203353|36311|20150501|905|ADAMS STREET UNIT-1|98|HOBOKEN|1500000|104|C|5|C|18|25|CARLO MARAMONTE
NHW|203356|36311|20150501|905|ADAMS STREET UNIT-4|98|HOBOKEN|700000|104|C|5|C|18|25|CARLO MARAMONTE
NHW|203354|36311|20150501|905|ADAMS STREET UNIT-2|98|HOBOKEN|999000|104|C|5|C|18|25|CARLO MARAMONTE
NHW|203355|36311|20150501|905|ADAMS STREET UNIT-3|98|HOBOKEN|999000|104|C|5|C|18|25|CARLO MARAMONTE
NHW|203319|36337|20150415|705|SOUTH GROVE STREET UNIT:2D|113|EAST ORANGE|247000|104|C|2|C|191|6.01|NKECHRIS LLC
NHW|203041|36337|20150310|705|SOUTH GROVE STREET UNIT-1D|113|EAST ORANGE|250000|104|C|2|C|191|6.01|NKECHRIS LLC
NHW|203040|36337|20150310|705|SOUTH GROVE STREET UNIT-2C|117|EAST ORANGE|254999|104|C|2|C|191|6.01|NKECHRIS LLC
NHW|203039|36337|20150303|705|SOUTH GROVE STREET UNIT-B|117|EAST ORANGE|205000|104|C|2|C|191|6.01|NKECHRIS LLC
NHW|203038|36337|20150301|705|SOUTH GROVE STREET UNIT-2A|117|EAST ORANGE|250000|105|C|2|C|191|6.01|NKECHRIS LLC
NHW|203454|36492|20150530|714|SOUTH MUNN AVENUE UNIT-2|81|NEWARK|131000|103|C|2|N|4031|58|DREAMWORKS BUILDERS LLC
NHW|203453|36492|20150530|714|SOUTH MUNN AVENUE UNIT-1|81|NEWARK|131000|103|C|2|N|4031|58|DREAMWORKS BUILDERS LLC
NHW|203094|36578|20150318|1505|3RD AVENUE|266|TOMS RIVER|255000|101|C|2|N|38|133|PINE BARRENS RESOURCES LLC
NHW|203249|36933|20150319|108|MARTIN LUTHER KING AVENUE|300|EGG HARBOR TWP|173000|101||1|N|2724|6|CN CONSTRUCTION LLC
NHW|203194|36933|20150305|112|MILLVILLE AVENUE|6562|MAYS LANDING|196000|101|C|1|N|665|8|CN CONSTRUCTION LLC
NHW|203236|37236|20150410|1810|SUNSET ROAD|196|SKILLMAN|685000|101|C|2|N|15013|20|MOUNTAINTOP PROPERTIES LLC
NHW|203412|37311|20150511|1530|HARRY DRIVE|121|BEACH HAVEN WEST|299375|101|C|1|N|147.06|273|NAUTILUS CUSTOM CONSTRUCTION LLC
NHW|203313|37311|20150415|1517|BEACH AVENUE|12415|LONG BEACH TWP|748625|101|C|2|N|8.15|1|NAUTILUS CUSTOM CONSTRUCTION LLC
NHW|203101|37311|20150227|1517|LONG BEACH BOULEVARD|5508|BRANT BEACH|421125|101|C|2|N|15.63|8|NAUTILUS CUSTOM CONSTRUCTION LLC
NHW|203100|37311|20150227|1528|BAY TERRACE|1926|SHIP BOTTOM|635397|101|C|2|N|50|15|NAUTILUS CUSTOM CONSTRUCTION LLC
NHW|203241|37315|20150401|508|PLEASURE AVENUE|1408|OCEAN CITY|910000|101|C|3|N|1412|1|MICHAEL DONAHUE BUILDERS LLC *
NHW|203303|37543|20150415|1521|EAST PLEASANT AVENUE|345|OCEAN GATE|270000|101|C|2|N|48|12.01|BL GENERAL CONTRACTOR
NHW|203252|37982|20150415|506|EAST MECHANIC STREET|307|CAPE MAY COURT HOUSE|239000|101|C|2|N|235|15|AGR BUILDERS LLC   *
NHW|203409|38119|20150515|220|LAURIE LANE|901|FRANKLIN LAKES|2100000|101|C|2|N|1107|2|PRO CONTRACTORS LLC
NHW|203445|38129|20150501|1515|WEST KINGFISHER WAY|111|LAVALLETTE|147000|101|C|1|N|1109.02|11|ABR CONSTRUCTION COMPANY
NHW|203378|38460|20150425|1515|OCEAN FRONT|1106|LAVALETTE|720000|101|C|2|N|12|4|TIRONDOLA CUSTOM HOME CONTRACTORS
NHW|203130|38670|20150227|2020|PROSPECT STREET UNIT 4E|111|WESTFIELD|1200000|105|C|4|C|2506|8.01|IN-TOWN CONDOMINIUM CONSTRUCTION
NHW|203311|38715|20150425|1408|HARVEST WAY|14|DENVILLE|1581377|101|C|2|N|50003|2.08|RMDJ REALTY LLC
NHW|203375|38793|20150501|906|GRACE STREET UNIT-1|30|JERSEY CITY|162500|103|C|3|N|504|33|NKAY PROPERTIES LLC
NHW|203376|38793|20150501|906|GRACE STREET UNIT-2|30|JERSEY CITY|162500|103|C|3|N|504|33|NKAY PROPERTIES LLC
NHW|203207|38939|20150420|1527|O STREET|299|SEASIDE PARK|937500|101|C|2|N|65|11|ENDRESON CONSTRUCTION COMPANY LLC
NHW|203176|39062|20150415|1517|A LONG BEACH BLVD|1111|NORTH BEACH|2495000|101|C|2|N|18.111|1|ZIMAN DEVELOPMENT INC
NHW|203177|39062|20150315|1517|B LONG BEACH BLVD|1051|NORTH BEACH|2765500|101|C|2|N|18.51|2|ZIMAN DEVELOPMENT INC
NHW|200187|39335|20130725|1344|NEW YORK BOULEVARD|320|SEA GIRT|2750000|101|C|2|N|48|9|KEVIN CASEY BUILDER LLC
NHW|203228|39335|20150402|1344|TRENTON BLVD|216|SEA GIRT|2156250|101|C|2|N|32|11|KEVIN CASEY BUILDER LLC
NHW|203267|39338|20150406|505|TOWNBANK ROAD|126|NORTH CAPE MAY|429000|101|C|2|N|552|12|MISTER X LLC
NHW|203410|39443|20150501|1352|MAIN STREET|2211|LAKE COMO|297500|101|C|2|N|35|22.01|DAVE GORDON CONSTRUCTION
NHW|203377|39648|20150501|1505|RODNOKE AVENUE|104|BERKLEY TOWNSHIP|533750|101||2|N|1681|42|G T BUILDERS
NHW|203229|39767|20150401|1507|ORLANDO DRIVE|370|LAVALLETTE|462500|101|C|2|N|1946.03|13|KIMSHER CONSTRUCTION CORPORATION T/A
NHW|203298|39837|20150430|712|FARBROOK DRIVE|85|SHORT HILLS|2650000|101|C|2|N|3903|7.01|HIGHVIEW DEVELOPMENT ASSOCIATES LLC
NHW|203192|39847|20150415|1312|LASATTA AVENUE|11|ENGLISHTOWN|369000|101|C|2|N|26|5|ARCH NEW HOME DEVELOPERS LLC
NHW|203080|39863|20150227|710|WINCHESTER ROAD|39|LIVINGSTON|699750|101|C|2|N|9602|21|LEGACY BUILDERS LLC
NHW|203446|40008|20150515|1316|SCHREIBERS LANE|5|FREEHOLD|377500|101|C|2|N|98|55.02|LAURIA CONTRACTING
NHW|203035|40084|20150301|1802|MILITO WAY|102|BASKING RIDGE|520500|101|C|2|N|10901|43|VLS BUILDERS INC
NHW|203351|40161|20110701|1225|CREEMER AVE|62|ISELIN|1200000|101|C|2|N|376.D|17|VINCENT DEROSA CONSTRUCTION INC
NHW|203297|40271|20150415|2020|AUSTIN STREET|730|WESTFIELD|1150000|101|C|2|N|2816|8|NCN PROPERTIES LLC
NHW|203274|40353|20150501|1305|LAKESIDE AVENUE|113|AVON BY THE SEA|718750|101|C|2|N|7|8|KIMAK BUILDERS INC
NHW|203092|40377|20150226|1337|TULIP COURT|6|OCEAN TOWNSHIP|625000|101|C|2|N|8.01|24|ADVANCE DEVELOPMENT
NHW|203153|40405|20150301|1517|EAST RYERSON LANE|4|BEACH HAVEN CREST|599606|101|C|3|N|8.11|7|KHE CONSTRUCTION
NHW|203090|40568|20150223|1225|SUMMIT AVENUE|196|FORDS|535000|101|C|2|N|175.08|244.0|PIPS BUILDERS LLC
NHW|203097|40645|20150215|712|SINCLAIR TERRACE|2|SHORT HILLS|2834375|101|C|2|N|2605|2|CROWN CONTRACTING LLC
NHW|203402|40819|20150615|1352|MAIN STREET UNIT-208|1700|LAKE COMO|349900|105|C|3|C|11|4.0208|1700 SOUTH BELMAR LLC
NHW|203060|40910|20150220|213|THOMPSON AVENUE UNIT-4F|100|EDGEWATER|630000|105|C|10|C|88|11.02|AVENTINE EDGEWATER LLC
NHW|203104|40910|20120316|213|THOMPSON AVENUE UNIT 2G|100|EDGEWATER|670000|105|C|10|C|88|11.02|AVENTINE EDGEWATER LLC
NHW|203171|41108|20150301|514|WEST WILDWOOD AVE UNIT:A|433|WILDWOOD|141875|103|C|1|N|197|8.02|ROSS DENHAM CONSTRUCTION INC
NHW|203172|41108|20150301|514|WEST WILDWOOD AVENUE UNIT:B|433|WILDWOOD|141875|103|C|1|N|197|8.02|ROSS DENHAM CONSTRUCTION INC
NHW|203187|41198|20150327|222|GARRET PLACE|4|GLEN ROCK|1200000|101|C|2|N|212|8|REFINED HOMES LLC
NHW|203049|41523|20150223|501|112-23RD STREET||AVALON|133620|101|C|2|N|23.03|23.02|GILBERT & SYKES BUILDERS LLC
NHW|203210|41678|20150330|1327|PINE AVENUE|376|MANASQUAN|312500|101|C|3|N|121|16.02|IMAGINERED CUSTOM HOMES
NHW|203159|41874|20150301|1519|OCEAN AVENUE|1101|MANTOLOKING|1553750|101|C|2|N|23|41.41.01|SAND CASTLE HOME BUILDERS INC
NHW|203421|41874|20150501|1344|BALTIMORE BOULEVARD|214|SEA GIRT|1000000|101|C|2|N|37|11.02|SAND CASTLE HOME BUILDERS INC
NHW|203422|41947|20150519|1501|EAST BAY AVENUE|482|BARNEGAT|288903|101|C|2|N|207|2.02|UNIPETS LLC
NHW|203423|41947|20150519|1501|CIRCLE DRIVE|2531|MANAHAWKIN|183750|101|C|2|N|306.01|15|UNIPETS LLC
NHW|203020|42001|20150131|1507|WEST POMPANO WAY|119|LAVALLETTE|100000|101|C|1|H|1109.09|19|LANDVEST CONSTRUCTION LLC
NHW|203021|42001|20150131|1507|WEST CORMORANT WAY|118|LAVALLETTE|125000|101|C|1|H|1109.09||LANDVEST CONSTRUCTION LLC
NHW|202989|42110|20150218|1505|SOUTH BAYVIEW AVENUE|2210|SEASIDE PARK|357125|101|C|2|N|1713|226.01|TJS AND SON CONTRACTORS LLC
NHW|203224|42193|20150316|1714|WHITCTAIL DRIVE|10|UPPER PITTSGROVE|204988|101|C|2|H|6|19.12|UPLAT LLC
NHW|202979|42324|20150123|2112|WATER STEET|27|GREAT MEADOWS|140000|101|C|1|N|21|73|WARREN COUNTY HABITAT FOR HUMANITY
NHW|203056|42406|20150302|1426|HARRISON WAY|36|MOUNT ARLINGTON|627600|101|C|1|H|58|124|BROOKLAND PARTNERS LLC
NHW|203380|42588|20150425|1403|BRANDON COURT|18|BUTLER|500000|102|C|2|C|76.40|1|MNB REALTY COMPANY LLC
NHW|203238|42588|20150315|1403|BRANDON COURT|17|BUTLER|470000|102|C|2|C|76.39|3|MNB REALTY COMPANY LLC
NHW|203085|42606|20150219|225|KIPP AVENUE|154|HASBROUCK HEIGHTS|682500|101|C|2|H|28|43|JOHN F EGAN
NHW|203110|42982|20150225|245|GLEN AVENUE UNIT-A|235|PALISADES|825000|103|C|2|C|605|6|SUONHO PARK  & JIMYUNG PARK *
NHW|203111|42982|20150225|245|GLEN AVENUE UNIT-B|235|PALISADES PA 07650|825000|103|C|2|C|605|6|SUONHO PARK  & JIMYUNG PARK *
NHW|203195|43024|20150320|1103|ELLIOTT COURT|1|HAMILTON|389400|101|C|2|N|2663|23.01|EHS CONSTRUCTION LLC
NHW|203258|43081|20150415|2019|HUGUENOT AVENUE|374|UNION|545000|101|C|1|N|1214|20.01|INVESTMAX LLC
NHW|203239|43152|20150401|906|JFK BLVD (UNIT-2)|3512|JERSEY CITY|340000|103|C|2|N|2105|60|KWALITY BUILDERS LLC
NHW|203240|43152|20150401|906|JKF BLVD (UNIT-1)|3512|JERSEY CITY|340000|103|C|2|N|2105|60|KWALITY BUILDERS LLC
NHW|203361|43182|20150406|1321|LAWRENCE AVENUE|33|KEANSBURG|225000|101|C|2|N|32|6|KONSTRUCTION LLC
NHW|203193|43211|20150330|230|MEHRHOF ROAD|184|LITTLE FERRY|395000|101|C|2|N|89 & 106.|14 & 13.2|JOHN VIGANOLA
NHW|203084|43212|20150304|1507|GREEN ISLAND ROAD|74|TOMS RIVER|563815|101|M|2|N|235.15|20|PERFORMANCE PLUS HOMES LLC
NHW|198255|43245|20120502|1325|CUMMINGS AVENUE|303|LONG BRANCH|515000|101|C|2|N|15|43|A TOMAS CONSTRUCTION LLC
NHW|203277|43485|20150327|1342|EAST RIVER ROAD|70|RUMSON|1750000|101|C|2|N|11|20|E P HOMES LLC
NHW|203266|43577|20150410|1413|GRIFFIN LANE|10|MORRISTOWN|2125000|101|C|2|H|7|1.02|EAGLESITE MANAGEMENT LLC
NHW|203213|43623|20150320|1911|TARRINGTON ROAD BLDG:1 UNIT-110|187|HARDYSTON|255638|104|C|4|C|16.29|1|SHOTLAND BAUER LLC
NHW|203212|43623|20150313|1911|COVENTRY ROAD|29|HARDYSTON|395000|101|C|2|H|16.30|1.17|SHOTLAND BAUER LLC
NHW|203157|43630|20150401|1530|LIGHTHOUSE DRIVE|496|MANAHAWKIN|224900|101||1|N|44.84|21|NORTH SHORE HOMES LLC
NHW|203234|43635|20150320|252|PARK AVENUE|834|RIVER EDGE|650000|101|C|2|N|213|12.01|CALECAS UNLIMITED CONTRACTING LLC
NHW|203235|43635|20150423|252|PARK AVENUE|830|RIVER EDGE|670000|101|C|2|N|213|12.01|CALECAS UNLIMITED CONTRACTING LLC
NHW|203144|43746|20150327|1210|ORCHARD AVENUE|36|METUCHEN|870000|101|C|2|N|216|30.01|SUBURBAN DEVELOPMENT LLC
NHW|203135|43781|20150318|1340|CEDAR CROSSING BLDG:7 UNIT-26|29|RED BANK|147586|105|M|2|C|75.03|50.01|RED BANK AFFORDABLE HOUSING CORP
NHW|203121|43781|20150223|1340|CEDAR CROSSING BLDG:5 UNIT 16|24|RED BANK|140045|105|M|2|C|75.03|50.01|RED BANK AFFORDABLE HOUSING CORP
NHW|203261|43808|20150410|1520|NAUTILUS ROAD|45|WARETOWN|421250|101|C|3|N|96|29|HOLLAND CONSTRUCTION INC
NHW|203312|43925|20150424|1507|BAY HARBOR BOULEVARD|11|BRICK|326370|101|C|2|N|378.03|5|PRECISION BUILDING VENTURES LLC
NHW|203254|44002|20150501|808|CEDAR ROAD|287||370000|101|C|2|N|34|4.07|GREENTECH BUILDERS LLC
NHW|203447|44034|20150530|1512|F STREET|1448|LACEY|340000|101|C|2|N|1214|1,2,3,49,|CENTER DEVELOPMENT LLC
NHW|203015|44043|20150210|1405|GLEN MERE DRIVE|36|CHATHAM|2275000|101|C|2|N|48.05|2|W P LLOYD CUSTOM BUILDING LLC DBA
NHW|203318|4418|20150430|2009|ORCHARD TERRANCE|930|LINDEN|415000|101|C|2|N|240|3|KAZIMIERZ NIEMCZYK
NHW|203444|4418|20150501|2009|EAST ELIZABETH AVENUE UNIT-1|307|LINDEN|170000|101|C|3|C|200|08|KAZIMIERZ NIEMCZYK
NHW|203425|44197|20150428|1507|BALTIMORE AVE|2047|ORTLEY BEACH|319375|101|C|2|N|986|1.2|GM POLIZZANO LLC T/A DESIGN CONSTRUCTION
NHW|203424|44197|20150428|1507|FOURTH AVENUE|301|ORTLEY BEACH|333750|101|C|2|N|1097.07|9|GM POLIZZANO LLC T/A DESIGN CONSTRUCTION
NHW|203127|44278|20150303|2018|HIGHLAND DRIVE|10|SUMMIT|2800000|101|C|2|N|5305|8|STERLING REAL ESTATE INVESTMENTS INC
NHW|203163|44324|20150326|502|EAST SPICER BLDG:3 UNIT-114|114|WILDWOOD|330000|103|C|2|H|146|5.02|JORDAN ASSOCIATES LLC
NHW|203164|44324|20150326|502|EAST SPICER BLDG:3 UNIT-116|116|WILDWOOD|335000|103|C|2|H|146|5.02|JORDAN ASSOCIATES LLC
NHW|203114|44354|20150301|1350|LORILLARD AVENUE|910|UNION BEACH|200000|101|C|2|N|215|5|MCEVOY INVESTMENTS LLC*
NHW|203257|44354|20150401|1350|BROADWAY|204|UNION BEACH|355000|101|C|2|N|109|2|MCEVOY INVESTMENTS LLC*
NHW|203279|44354|20150401|1350|RARITAN STREET|208|UNION BEACH|287500|101|C|2|N|68|12|MCEVOY INVESTMENTS LLC*
NHW|203430|44357|20150615|1516|FROG POND ROAD|320|LITTLE EGG HARBOR|365000|101|C|1|N|196|5.11|D C CUMMINGS BUILDER LLC
NHW|203331|44434|20150410|1218|GRACE COURT|9|PLAINSBORO|855000|101|C|2|H|703|7.08|DSK WOODS LLC
NHW|203332|44434|20150410|1218|GRACE COURT|10|PLAINSBORO|875000|101|C|2|H|703|7.05|DSK WOODS LLC
NHW|203437|44437|20150430|103|LINCOLN DRIVE|129|BRIGANTINE|330000|101|C|2|N|8302|3.3|DEEJON BUILDERS LLC
NHW|203357|44440|20150526|1507|POINT ROAD|5|TOMS RIVER|346000|101|C|2|N|794.45|5|BEACHCOAST BUILDERS LLC
NHW|203156|44463|20150315|1331|BRAINARD AVENUE|70|PORT MONMOUTH|291925|101|C|1|N|143|7|SCOTT RATHBURN HOMES LLC
HBW|NJ121184|29331|20150203|1204|SAN DIEGO PLACE|6|OLD BRIDGE|619900|101|C|0||62|24304|WOODHAVEN VILLAGE INC
HBW|NJ121183|29331|20141223|1204|PALOMINO DR|15|OLD BRIDGE|684900|101|C|0||20|24302|WOODHAVEN VILLAGE INC
HBW|NJ121088|33607|20140929|1515|Newark Ave.|248|Lavallette|348000|101|M|0||4|963|ZARRILLI HOMES LLC
HBW|NJ121265|34087|20140925|714|S 12TH ST|728|NEWARK|362000|103|C|0||41|2631|AGUIAS CARPENTRY INC
HBW|NJ121718|19706|20141230|245|B 2nd Street|522|Palisades Park|740000|103|C|0||00006|00310|MICHAEL BRODERICK JR
HBW|NJ121550|24681|20141113|1112|ROBBINSVILLE-EDINBURGH ROAD, SUITE|968|ROBBINSVILLE|276000|105|C|0||1.17|8|SHARBELL WASHINGTON INC
HBW|NJ121738|24683|20150128|811|Coles Mill Road|1070|Williamstown|271500|101|C|0||8|7801|KOJESKI CONSTRUCTION CO INC
HBW|NJ121806|25132|20150306|1211|Park Place|8|Middlesex|425000|101|C|0||24.01|26|SATELLITE BUILDERS LLC*
HBW|NJ121921|25946|20150108|1915|FAWN HOLLOW DR|19|NEWTON|480000|101|C|0||79|18|FOREST KNOLL L L C
HBW|NJ121942|25955|20150212|1319|Kent Road|308|Howell|264000|101|C|0||75|16.01|MELMED CONSTRUCTION COMPANY INC
HBW|NJ121904|28160|20150115|116|Winchester Ave Unit B|9305|Margate|600000|103|C|0||100|327|J & D BUILDING AND DEVELOPMENT L L C
HBW|NJ121470|29213|20150302|1326|E PARSONAGE WAY|94|MANALAPAN|545000|101|C|0||6|6511|BATTLEGROUND DEVELOPERS LLC
HBW|NJ121471|29213|20140302|1326|PATTON COURT|6|MANALAPAN|520000|101|C|0||58|6504|BATTLEGROUND DEVELOPERS LLC
HBW|NJ121685|29213|20150313|1326|E PARSONAGE WAY|77|MANALAPAN|515000|101|C|0||48|6504|BATTLEGROUND DEVELOPERS LLC
HBW|NJ121684|29213|20150216|1326|Patton Court|4|Manalapan|545000|101|C|0||59|6504|BATTLEGROUND DEVELOPERS LLC
HBW|NJ121468|29213|20150122|1326|E PARSONAGE WAY|102|MANALAPAN|555000|101|C|0||10|6511|BATTLEGROUND DEVELOPERS LLC
HBW|NJ121466|29213|20150119|1326|E PARSONAGE WAY|98|MANALAPAN|555000|101|C|0||8|6511|BATTLEGROUND DEVELOPERS LLC
HBW|NJ121910|29331|20150313|1204|Palomino Drive|17|Old Bridge|549900|101|C|0||21|24302|WOODHAVEN VILLAGE INC
